epoch,accuracy,loss,val_accuracy,val_loss
0,0.9175999760627747,0.24720332026481628,0.9976000189781189,0.010747332125902176
1,0.9984999895095825,0.005463908426463604,0.9998000264167786,0.0006197939510457218
2,0.9977499842643738,0.00923409778624773,0.9998499751091003,0.0013030838454142213
3,0.9998499751091003,0.0007976947235874832,1.0,2.3994429284357466e-05
4,1.0,1.5868372429395095e-05,1.0,1.0607934200379532e-05
5,1.0,8.920794243749697e-06,1.0,7.221764917630935e-06
6,1.0,6.26054725216818e-06,1.0,5.29412000105367e-06
7,1.0,5.231557224760763e-06,1.0,5.145076102053281e-06
8,1.0,5.083726136945188e-06,1.0,4.994090886611957e-06
9,1.0,4.92939398100134e-06,1.0,4.838279437535675e-06
10,1.0,4.830979833059246e-06,1.0,4.820821686735144e-06
11,1.0,4.81365304949577e-06,1.0,4.802659532288089e-06
12,1.0,4.7946723498171195e-06,1.0,4.78295578432153e-06
13,1.0,4.782545147463679e-06,1.0,4.7818953134992626e-06
14,1.0,4.781512416229816e-06,1.0,4.7806320253585e-06
15,1.0,4.78008814752684e-06,1.0,4.779279151989613e-06
16,1.0,4.779279606736964e-06,1.0,4.779261416842928e-06
17,1.0,4.779243681696244e-06,1.0,4.779237315233331e-06
18,1.0,4.779218670591945e-06,1.0,4.7792077566555236e-06
19,1.0,4.7792082114028744e-06,1.0,4.7791959332244005e-06
